Implementation,Model,MAE,RMSE,R2
NumPy From Scratch,Basic,104674.4375,193717.82992796507,0.33228009939193726
PyTorch,Basic,91978.75,179407.34290435273,0.4272889494895935
PyTorch,Improved,115989.203125,213501.21820729735,0.18893468379974365
TensorFlow,Basic,92905.65625,178673.86763598083,0.4319623112678528
TensorFlow,Improved,99345.296875,189242.94616180545,0.36277246475219727
